user_id,course_0,course_1,course_2,course_3,course_4,course_5,course_6,course_7,course_8,course_9,course_10,course_11,course_12,course_13,course_14,course_15,course_16,course_17,course_18,course_19
user_0,0,5,1,0,0,0,0,3,0,1,0,5,3,0,0,0,0,0,0,0
user_1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,5,2,0,0,0,0
user_2,0,0,0,4,0,0,0,0,0,0,5,2,4,4,0,4,0,0,0,0
user_3,0,0,3,0,0,0,0,2,0,5,2,0,0,2,1,1,2,0,0,0
user_4,3,0,0,0,0,0,1,0,4,0,0,1,2,0,2,0,0,0,0,0
user_5,0,0,0,0,4,0,0,1,0,0,0,0,4,2,0,3,2,0,4,0
user_6,2,4,0,0,0,0,2,3,0,0,0,0,0,0,5,0,0,1,0,5
user_7,5,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,2,0,1
user_8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0
user_9,0,0,4,3,0,0,2,0,0,0,0,4,4,0,0,0,1,4,4,2
user_10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
user_11,0,0,0,0,0,0,5,0,4,0,2,0,0,0,0,1,0,0,0,0
user_12,5,5,4,0,0,4,0,5,5,3,0,0,3,0,0,0,4,0,0,0
user_13,0,5,0,0,3,1,0,1,0,0,2,2,3,4,0,0,2,0,1,2
user_14,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0
user_15,0,0,0,0,1,5,0,0,2,0,0,0,0,5,3,0,0,0,0,0
user_16,0,1,0,0,5,1,0,0,0,0,0,1,0,0,0,0,3,1,0,0
user_17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0
user_18,0,0,0,0,5,0,5,4,0,0,0,0,0,0,0,0,3,0,2,0
user_19,0,0,0,3,1,2,0,0,1,2,5,0,0,2,0,4,3,0,1,1
user_20,0,4,0,3,0,4,0,0,4,0,0,5,5,0,0,0,0,0,0,1
user_21,2,2,0,0,0,0,0,4,0,0,0,2,0,0,0,1,0,3,1,0
user_22,0,5,0,0,2,5,5,1,0,0,2,0,0,4,0,0,0,0,0,0
user_23,0,0,1,0,5,0,0,3,0,5,0,5,0,4,0,5,0,0,5,0
user_24,0,0,0,0,0,4,0,0,5,4,0,0,0,0,0,0,0,0,5,5
user_25,0,0,0,2,0,0,4,3,5,1,0,0,4,3,0,0,0,2,5,0
user_26,0,0,5,3,3,0,0,0,0,3,2,5,5,0,2,5,3,0,0,0
user_27,5,0,0,0,0,0,0,0,0,2,0,3,0,0,3,0,0,0,1,0
user_28,1,0,0,0,0,0,0,0,4,0,0,2,0,0,3,5,0,4,0,0
user_29,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
user_30,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,4,0,0,2,1
user_31,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0
user_32,0,0,0,0,0,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0
user_33,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,5,3
user_34,2,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
user_35,0,0,0,0,0,5,0,2,0,0,2,0,0,0,0,4,3,5,0,1
user_36,4,0,0,1,0,3,0,2,0,0,0,2,0,0,0,3,0,2,0,0
user_37,0,0,1,0,0,4,0,0,4,0,0,4,0,0,0,2,0,0,4,2
user_38,0,0,0,1,0,0,2,3,0,3,0,3,0,0,2,0,0,1,1,0
user_39,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,3,4,0,0,4
user_40,1,0,0,0,0,1,4,4,0,0,5,3,0,4,3,0,0,0,0,0
user_41,2,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,4,0,0,0
user_42,0,0,0,5,0,0,0,5,0,0,0,1,0,4,0,0,0,0,0,0
user_43,2,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,1,0,0,0
user_44,0,0,0,0,2,0,0,0,0,0,1,3,3,0,0,0,0,4,0,0
user_45,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,5,2,0
user_46,3,0,4,2,0,0,0,0,0,0,0,3,5,0,0,0,0,4,0,0
user_47,0,0,0,3,0,0,0,4,3,0,0,0,0,4,0,0,0,0,0,1
user_48,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0
